file,change_number,code_churn,owner_number,pre-release defect
core-cube/src/main/java/org/apache/kylin/cube/CubeCapabilityChecker.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/CubeDescManager.java,2,21,1,1
core-cube/src/main/java/org/apache/kylin/cube/CubeInstance.java,1,10,1,1
core-cube/src/main/java/org/apache/kylin/cube/CubeManager.java,8,44,6,1
core-cube/src/main/java/org/apache/kylin/cube/CubeSegment.java,1,12,1,1
core-cube/src/main/java/org/apache/kylin/cube/CubeSegmentAdvisor.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/CubeUpdate.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/AbstractRecommendAlgorithm.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/BenefitPolicy.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/BPUSCalculator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/CuboidBenefitModel.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/CuboidRecommendAlgorithm.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/CuboidRecommender.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/CuboidStats.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/CuboidStatsUtil.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/BitsChromosome.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/BitsChromosomeHelper.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/BitsMutation.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/BitsOnePointCrossover.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/CombinedStoppingCondition.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/GeneticAlgorithm.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/generic/RouletteWheelSelection.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/greedy/GreedyAlgorithm.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/PBPUSCalculator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/algorithm/SPBPUSCalculator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/Cuboid.java,1,2,1,1
core-cube/src/main/java/org/apache/kylin/cube/cuboid/CuboidCLI.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/CuboidManager.java,1,15,1,1
core-cube/src/main/java/org/apache/kylin/cube/cuboid/CuboidModeEnum.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/CuboidScheduler.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/CuboidUtil.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/DefaultCuboidScheduler.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/cuboid/TreeCuboidScheduler.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/DimensionRangeInfo.java,3,115,3,1
core-cube/src/main/java/org/apache/kylin/cube/gridtable/AsymmetricRecordComparator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/ComparatorEx.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/CubeCodeSystem.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/CubeGridTable.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/CuboidToGridTableMapping.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/CuboidToGridTableMappingExt.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/RecordComparator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/RecordComparators.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/ScanRangePlannerBase.java,1,4,1,1
core-cube/src/main/java/org/apache/kylin/cube/gridtable/SegmentGTStartAndEnd.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/TrimmedCubeCodeSystem.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/TrimmedDimEnc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/gridtable/TrimmedDimensionSerializer.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/AbstractInMemCubeBuilder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/CompoundCuboidWriter.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/ConcurrentDiskStore.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/ConsumeBlockingQueueController.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/CuboidResult.java,2,12,2,
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/DoggedCubeBuilder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/ICuboidWriter.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/InMemCubeBuilder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/InMemCubeBuilderUtils.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/InputConverter.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/InputConverterUnit.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/InputConverterUnitForBaseCuboid.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/InputConverterUnitForRawData.java,1,2,1,1
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/MemDiskStore.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/inmemcubing/RecordConsumeBlockingQueueController.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/kv/AbstractRowKeyEncoder.java,0,0,0,0
